lab,id,age,gender,status,trial,side,LT,trialend,stimulus,condition,comment
plymouth,5,239,f,ok,7,right,6.439,Lookaway,Manybabies\ADS-4.wav,ads,Everything fine
plymouth,5,239,f,ok,8,left,20.211,SoundEnded,Manybabies\IDS-4.wav,ids,Everything fine
plymouth,5,239,f,ok,9,left,14.727,Lookaway,Manybabies\IDS-5.wav,ids,Everything fine
plymouth,5,239,f,ok,10,right,6.54,Lookaway,Manybabies\ADS-5.wav,ads,Everything fine
plymouth,5,239,f,ok,11,left,18.218,SoundEnded,Manybabies\IDS-6.wav,ids,Everything fine
plymouth,5,239,f,ok,12,left,4.908,Lookaway,Manybabies\ADS-6.wav,ads,Everything fine
plymouth,5,239,f,ok,13,right,8.179,Lookaway,Manybabies\ADS-7.wav,ads,Everything fine
plymouth,5,239,f,ok,14,left,0.318,Lookaway,Manybabies\IDS-7.wav,ids,Everything fine
plymouth,5,239,f,ok,15,left,9.598,Lookaway,Manybabies\IDS-8.wav,ids,Everything fine
plymouth,5,239,f,ok,16,right,3.376,Lookaway,Manybabies\ADS-8.wav,ads,Everything fine
plymouth,6,333,m,out,1,right,2.176,Lookaway,Manybabies\ADS-1.wav,ads,Big brother got to the controls…
plymouth,6,333,m,out,2,left,2.393,Lookaway,Manybabies\IDS-1.wav,ids,Big brother got to the controls…
plymouth,6,333,m,out,3,left,10.148,Lookaway,Manybabies\ADS-2.wav,ads,Big brother got to the controls…
plymouth,6,333,m,out,4,right,1.844,Lookaway,Manybabies\IDS-2.wav,ids,Big brother got to the controls…
plymouth,6,333,m,out,5,right,0,ExpAbort,Manybabies\IDS-3.wav,ids,Big brother got to the controls…
plymouth,7,264,f,ok,1,left,4.247,Lookaway,Manybabies\IDS-5.wav,ids,very inattentive
plymouth,7,264,f,ok,2,right,3.377,Lookaway,Manybabies\ADS-5.wav,ads,very inattentive
plymouth,7,264,f,ok,3,right,8.3,Lookaway,Manybabies\ADS-7.wav,ads,very inattentive
plymouth,7,264,f,ok,4,left,3.693,Lookaway,Manybabies\IDS-7.wav,ids,very inattentive
plymouth,7,264,f,ok,5,left,2.398,Lookaway,Manybabies\ADS-1.wav,ads,very inattentive
plymouth,7,264,f,ok,6,right,1.959,Lookaway,Manybabies\IDS-1.wav,ids,very inattentive
plymouth,7,264,f,ok,7,left,0.972,Lookaway,Manybabies\ADS-3.wav,ads,very inattentive
plymouth,7,264,f,ok,8,right,1.632,Lookaway,Manybabies\IDS-3.wav,ids,very inattentive
plymouth,7,264,f,ok,9,right,2.94,Lookaway,Manybabies\ADS-2.wav,ads,very inattentive
plymouth,7,264,f,ok,10,left,1.084,Lookaway,Manybabies\IDS-2.wav,ids,very inattentive
plymouth,7,264,f,ok,11,left,1.413,Lookaway,Manybabies\IDS-4.wav,ids,very inattentive
plymouth,7,264,f,ok,12,right,4.585,Lookaway,Manybabies\ADS-4.wav,ads,very inattentive
plymouth,7,264,f,ok,13,right,1.416,Lookaway,Manybabies\IDS-6.wav,ids,very inattentive
plymouth,7,264,f,ok,14,left,2.401,Lookaway,Manybabies\ADS-6.wav,ads,very inattentive
plymouth,7,264,f,ok,15,left,3.165,Lookaway,Manybabies\IDS-8.wav,ids,very inattentive
plymouth,7,264,f,ok,16,right,1.303,Lookaway,Manybabies\ADS-8.wav,ads,very inattentive
